,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,2,1234,CVE,2.3012,1.9282,0.19223539027380465,0.19223539027380465,0.007764609726195343,0.007764609726195343
1,3,0,-1,2,1234,CCVE,87.86080000000001,3.4128,0.19223539027380465,0.19223539027380465,0.007764609726195343,0.007764609726195343
2,3,0,-1,2,1234,CCALPeps,188.1834,185.5688,0.19220037675627025,0.19220037675627025,0.007799623243729759,0.007799623243729759
3,4,0,-1,2,1234,CVE,2.8438000000000003,2.3614,0.07302297821545807,0.07302297821545807,0.1269770217845419,0.1269770217845419
4,4,0,-1,2,1234,CCVE,105.7542,4.971,0.07302297821545806,0.07302297821545806,0.12697702178454193,0.12697702178454193
5,4,0,-1,2,1234,CCALPeps,333.02819999999997,329.99920000000003,0.07309323672837209,0.07309323672837213,0.12690676327162786,0.12690676327162792
6,5,0,-1,2,1234,CVE,3.2833999999999994,2.8024,0.09321193061510584,0.09321193061510584,0.10678806938489416,0.10678806938489416
7,5,0,-1,2,1234,CCVE,136.03879999999998,12.4428,0.09321193061510583,0.09321193061510583,0.10678806938489416,0.10678806938489416
8,5,0,-1,2,1234,CCALPeps,532.5193999999999,529.0676000000001,0.09323353672635919,0.09323353672635928,0.10676646327364073,0.10676646327364081
9,6,0,-1,2,1234,CVE,3.8815999999999997,3.3058,0.007629386661507147,0.007629386661507147,0.19237061333849284,0.19237061333849284
10,6,0,-1,2,1234,CCVE,163.69959999999998,25.9106,0.007629386661507147,0.007629386661507147,0.19237061333849284,0.19237061333849284
11,6,0,-1,2,1234,CCALPeps,700.7442,696.5442,0.007646809542702443,0.007646809542702455,0.19235319045729754,0.19235319045729754
12,7,0,-1,2,1234,CVE,5.309,4.8086,0.012292659107895905,0.012292659107895905,0.1877073408921041,0.1877073408921041
13,7,0,-1,2,1234,CCVE,208.397,56.6496,0.012292659107895905,0.012292659107895905,0.1877073408921041,0.1877073408921041
14,7,0,-1,2,1234,CCALPeps,860.6004,856.5002000000001,0.012305441212463722,0.012305441212463736,0.18769455878753627,0.18769455878753627
15,8,0,-1,2,1234,CVE,7.3914,6.837999999999999,0.008567343341242626,0.008567343341242626,0.19143265665875736,0.19143265665875736
16,8,0,-1,2,1234,CCVE,349.73879999999997,186.0,0.008567343341242626,0.008567343341242626,0.19143265665875736,0.19143265665875736
17,8,0,-1,2,1234,CCALPeps,1120.2054000000003,1115.7347999999997,0.00858732626071076,0.008587326260710777,0.19141267373928922,0.19141267373928922
18,9,0,-1,2,1234,CVE,19.6304,18.9534,0.011065620680184067,0.011065620680184067,0.18893437931981594,0.18893437931981594
19,9,0,-1,2,1234,CCVE,725.7032,570.8214,0.011065620680184067,0.011065620680184067,0.18893437931981594,0.18893437931981594
20,9,0,-1,2,1234,CCALPeps,1289.4506,1285.54,0.011097551429726798,0.01109755142972681,0.1889024485702732,0.18890244857027322
21,10,0,-1,2,1234,CVE,57.0304,56.2182,0.02852654842883289,0.02852654842883289,0.1714734515711671,0.1714734515711671
22,10,0,-1,2,1234,CCVE,2718.6621999999998,2541.4982,0.028526548428832905,0.028526548428832905,0.17147345157116708,0.17147345157116708
23,10,0,-1,2,1234,CCALPeps,1546.1748000000002,1542.2284,0.028542271397961817,0.02854227139796185,0.17145772860203815,0.17145772860203817
24,11,0,-1,2,1234,CVE,193.127,192.4964,0.09470039619245592,0.09470039619245592,0.10529960380754408,0.10529960380754408
25,11,0,-1,2,1234,CCVE,9716.3452,9499.0176,0.0947003961924559,0.0947003961924559,0.10529960380754408,0.10529960380754408
26,11,0,-1,2,1234,CCALPeps,1834.2416,1829.8879999999997,0.0947116214361716,0.0947116214361717,0.10528837856382829,0.1052883785638284
27,12,0,-1,2,1234,CVE,673.5688,672.926,0.129814699731025,0.129814699731025,0.070185300268975,0.070185300268975
28,12,0,-1,2,1234,CCVE,32678.9506,32470.5596,0.129814699731025,0.129814699731025,0.07018530026897501,0.07018530026897501
29,12,0,-1,2,1234,CCALPeps,1922.0358,1917.5702,0.1297967425387901,0.12979674253879017,0.07020325746120984,0.0702032574612099
30,13,0,-1,2,1234,CVE,3047.6306,3046.8700000000003,0.01306671808953643,0.01306671808953643,0.1869332819104636,0.1869332819104636
31,13,0,-1,2,1234,CCVE,146162.3306,145930.267,0.013066718089536428,0.013066718089536428,0.18693328191046357,0.18693328191046357
32,13,0,-1,2,1234,CCALPeps,2354.9793999999997,2349.7624000000005,0.013100392525461019,0.013100392525461042,0.18689960747453896,0.186899607474539
33,14,0,-1,2,1234,CVE,14153.5108,14152.684000000003,0.11835469710527183,0.11835469710527183,0.08164530289472817,0.08164530289472817
34,14,0,-1,2,1234,CCVE,inf,inf,,,,
35,14,0,-1,2,1234,CCALPeps,2702.12,2696.7267999999995,0.11833892249725816,0.11833892249725828,0.08166107750274172,0.08166107750274183
36,15,0,-1,2,1234,CVE,,,,,,
37,15,0,-1,2,1234,CCVE,,,,,,
38,15,0,-1,2,1234,CCALPeps,2886.5822,2880.4388000000004,0.1196147537471546,0.11961475374715472,0.0803852462528453,0.0803852462528454
39,16,0,-1,2,1234,CVE,,,,,,
40,16,0,-1,2,1234,CCVE,,,,,,
41,16,0,-1,2,1234,CCALPeps,2958.9447999999998,2952.3946,0.09042066251341402,0.09042066251341414,0.10957933748658585,0.10957933748658596
42,17,0,-1,2,1234,CVE,,,,,,
43,17,0,-1,2,1234,CCVE,,,,,,
44,17,0,-1,2,1234,CCALPeps,3265.1016,3258.918,0.1687104006394295,0.16871040063942952,0.03128959936057048,0.03128959936057052
45,18,0,-1,2,1234,CVE,,,,,,
46,18,0,-1,2,1234,CCVE,,,,,,
47,18,0,-1,2,1234,CCALPeps,3404.0336,3397.4893999999995,0.0835424817076423,0.08354248170764242,0.11645751829235758,0.1164575182923577
48,19,0,-1,2,1234,CVE,,,,,,
49,19,0,-1,2,1234,CCVE,,,,,,
50,19,0,-1,2,1234,CCALPeps,3737.8486,3729.9659999999994,0.10073945517852925,0.10073945517852936,0.09926054482147065,0.09926054482147076
