,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,2,1234,CVE,2.2996,1.843,0.19223539027380465,0.19223539027380465,0.007764609726195343,0.007764609726195343
1,3,0,-1,2,1234,CCVE,81.02619999999999,3.0441999999999996,0.19223539027380465,0.19223539027380465,0.007764609726195343,0.007764609726195343
2,3,0,-1,2,1234,CCALPeps,183.3998,180.91100000000003,0.19220037675627025,0.19220037675627025,0.007799623243729759,0.007799623243729759
3,3,0,-1,2,2468,CVE,2.1758,1.7532,0.024880382775119617,0.024880382775119617,0.1751196172248804,0.1751196172248804
4,3,0,-1,2,2468,CCVE,82.0242,2.6982000000000004,0.024880382775119617,0.024880382775119617,0.1751196172248804,0.1751196172248804
5,3,0,-1,2,2468,CCALPeps,186.4756,183.787,0.024898439447136503,0.024898439447136524,0.17510156055286347,0.1751015605528635
6,3,0,-1,2,3702,CVE,2.3966000000000003,1.9487999999999999,0.0017211703958691913,0.0017211703958691913,0.19827882960413082,0.19827882960413082
7,3,0,-1,2,3702,CCVE,79.3082,2.7036000000000002,0.0017211703958691905,0.0017211703958691905,0.19827882960413082,0.19827882960413082
8,3,0,-1,2,3702,CCALPeps,189.83679999999998,187.225,0.001725979910273255,0.0017259799102732564,0.19827402008972675,0.19827402008972675
9,3,0,-1,2,4936,CVE,2.0692,1.7052,0.052000000000000005,0.052000000000000005,0.148,0.148
10,3,0,-1,2,4936,CCVE,79.5872,2.7854,0.052000000000000005,0.052000000000000005,0.148,0.148
11,3,0,-1,2,4936,CCALPeps,223.3678,220.8788,0.05201119856017596,0.052011198560175984,0.147988801439824,0.147988801439824
12,3,0,-1,2,6170,CVE,2.3612,1.888,0.020000000000000004,0.020000000000000004,0.18,0.18
13,3,0,-1,2,6170,CCVE,81.04,2.7204,0.020000000000000004,0.020000000000000004,0.18,0.18
14,3,0,-1,2,6170,CCALPeps,236.9092,234.4242,0.020021596720439936,0.02002159672043995,0.17997840327956005,0.17997840327956008
15,3,0,-1,2,7404,CVE,2.2956,1.8509999999999998,0.14274809160305343,0.14274809160305343,0.05725190839694657,0.05725190839694657
16,3,0,-1,2,7404,CCVE,74.60459999999999,2.9602,0.14274809160305343,0.14274809160305343,0.05725190839694657,0.05725190839694657
17,3,0,-1,2,7404,CCALPeps,197.2854,194.78,0.1427408667422112,0.14274086674221126,0.05725913325778875,0.057259133257788794
18,3,0,-1,2,8638,CVE,2.2436,1.8066,0.014268066707844348,0.014268066707844348,0.18573193329215565,0.18573193329215565
19,3,0,-1,2,8638,CCVE,84.244,2.8915999999999995,0.014268066707844345,0.014268066707844345,0.18573193329215565,0.18573193329215565
20,3,0,-1,2,8638,CCALPeps,172.29379999999998,169.8414,0.014291645580074877,0.014291645580074891,0.18570835441992511,0.18570835441992511
