,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,1.9082000000000001,1.9017,0.0
1,5,6,0,1234,CCVE,142.3674,26.104899999999997,0.0
2,5,6,0,1234,CCALP,289.52889999999996,287.0913,0.0
3,5,6,0,1234,CCALPeps,2183.4911,2181.2481,6.788493067677593e-09
4,6,6,0,1234,CVE,2.7854,2.7771,0.0
5,6,6,0,1234,CCVE,235.0422,107.0975,0.0
6,6,6,0,1234,CCALP,355.274,352.605,0.0
7,6,6,0,1234,CCALPeps,3187.5883999999996,3184.9044999999996,7.993605777301127e-16
8,7,6,0,1234,CVE,8.2299,8.220600000000001,0.0
9,7,6,0,1234,CCVE,640.0315,502.6253,0.0
10,7,6,0,1234,CCALP,475.58299999999997,472.1309,0.0
11,7,6,0,1234,CCALPeps,4464.3723,4461.6731,5.917341894257078e-10
12,8,6,0,1234,CVE,26.6793,26.669099999999997,0.0
13,8,6,0,1234,CCVE,3187.6557000000003,3028.8216,0.0
14,8,6,0,1234,CCALP,494.12610000000006,491.5051,1.1102230246251565e-16
15,8,6,0,1234,CCALPeps,5995.8599,5993.127,5.5422333389287813e-14
16,9,6,0,1234,CVE,140.0807,140.0683,0.0
17,9,6,0,1234,CCVE,17171.124900000003,16977.0153,0.0
18,9,6,0,1234,CCALP,585.2760000000001,582.6671,1.1102230246251565e-16
19,9,6,0,1234,CCALPeps,7679.8249,7676.2186,1.1385993292645224e-08
20,10,6,0,1234,CVE,689.2255,689.2085,0.0
21,10,6,0,1234,CCVE,82992.9093,82776.845,0.0
22,10,6,0,1234,CCALP,749.6628,746.4930999999999,5.551115123125783e-17
23,10,6,0,1234,CCALPeps,9959.8488,9956.4056,2.185144324373667e-08
24,11,6,0,1234,CVE,4011.7208,4011.7032,0.0
25,11,6,0,1234,CCVE,inf,inf,
26,11,6,0,1234,CCALP,1044.4202,1021.1643,2.7755575615628914e-17
27,11,6,0,1234,CCALPeps,12116.3951,12112.4656,3.7664251512081745e-08
28,12,6,0,1234,CVE,28057.844699999998,28057.8219,0.0
29,12,6,0,1234,CCVE,inf,inf,
30,12,6,0,1234,CCALP,962.2133,957.6766,2.220446049250313e-16
31,12,6,0,1234,CCALPeps,14458.0143,14453.7453,6.734961000010032e-09
32,13,6,0,1234,CVE,,,
33,13,6,0,1234,CCVE,inf,inf,
34,13,6,0,1234,CCALP,1063.5022000000001,1059.3484,1.1102230246251565e-16
35,13,6,0,1234,CCALPeps,19168.8017,19164.5298,1.477757012313674e-08
36,14,6,0,1234,CVE,,,
37,14,6,0,1234,CCVE,inf,inf,
38,14,6,0,1234,CCALP,1223.0615,1218.678,0.0
39,14,6,0,1234,CCALPeps,21361.9965,21357.4335,2.375209851024351e-09
