,N,dovar,endovarsize,obsvar,seed,method,time,query_time,size,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,3,-1,1234,CVE,2.407,1.9599999999999997,0.15680000000000002,0.00012307692307692307,0.04307692307692308,0.15680000000000002,0.00012307692307692307,0.04307692307692308,
1,3,0,3,-1,1234,CCVE,103.9846,4.800199999999999,0.1568,0.00012307692307692307,0.043076923076923075,0.1568,0.00012307692307692307,0.043076923076923075,
2,3,0,3,-1,1234,CCALPeps,inf,inf,,,,,,,
