,N,exovarsize,dovar,seed,method,time,query_time,size
0,2,6,0,1234,CVE,1.1542999999999999,1.1455,0.0
1,2,6,0,1234,CCVE,62.6865,2.2727,0.0
2,2,6,0,1234,CCALP,60.420399999999994,58.7192,0.0
3,2,6,0,1234,CCALPeps,136.7846,134.7422,2.147682583775179e-06
4,3,6,0,1234,CVE,2.4982,2.4894000000000003,0.0
5,3,6,0,1234,CCVE,90.46079999999999,5.3119,0.0
6,3,6,0,1234,CCALP,102.82239999999999,100.4136,1.1102230246251565e-16
7,3,6,0,1234,CCALPeps,316.69259999999997,314.5596,3.1032649636997255e-06
8,4,6,0,1234,CVE,2.702,2.6927,0.0
9,4,6,0,1234,CCVE,101.8699,15.543000000000001,0.0
10,4,6,0,1234,CCALP,131.1028,128.07999999999998,0.0
11,4,6,0,1234,CCALPeps,650.2850999999999,647.1354,3.0832347163389785e-06
