,N,exovarsize,seed,method,time,size
0,8,6,333,CVE,6.5725,0.0
1,8,6,333,CCVE,172.33419999999998,0.0002527656594849548
2,8,6,333,CCALP,4430.666200000001,0.0002807410192291693
