,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,1.4047,1.3984,0.0
1,5,6,0,1234,CCVE,113.72370000000001,9.8687,0.0
2,5,6,0,1234,CCALP,277.0194,274.5364,1.1102230246251565e-16
3,5,6,0,1234,CCALPeps,557.6949999999999,555.3058,4.75092688945189e-06
4,7,6,0,1234,CVE,2.1511,2.1458,0.0
5,7,6,0,1234,CCVE,151.0393,21.1566,0.0
6,7,6,0,1234,CCALP,363.57669999999996,360.851,2.2204460492503132e-17
7,7,6,0,1234,CCALPeps,1004.1791999999999,1001.6398000000002,6.722163390637803e-06
8,9,6,0,1234,CVE,3.8866,3.8787,0.0
9,9,6,0,1234,CCVE,210.9209,93.1437,0.0
10,9,6,0,1234,CCALP,525.9,522.7424,0.0
11,9,6,0,1234,CCALPeps,1542.2550999999999,1539.4406999999999,8.9858611716509e-06
12,11,6,0,1234,CVE,11.317499999999999,11.3043,0.0
13,11,6,0,1234,CCVE,477.10059999999993,356.9216,0.0
14,11,6,0,1234,CCALP,692.2054,689.3972,5.551115123125783e-17
15,11,6,0,1234,CCALPeps,1880.7241999999999,1877.291,1.0997938250789651e-05
16,13,6,0,1234,CVE,32.436099999999996,32.4243,0.0
17,13,6,0,1234,CCVE,3208.0804,3037.6702,0.0010630919519999393
18,13,6,0,1234,CCALP,866.7812,863.7013,0.00014516182886401552
19,13,6,0,1234,CCALPeps,2812.7774,2809.0391,0.00013482031785694293
20,15,6,0,1234,CVE,171.53730000000002,171.52530000000002,0.0
21,15,6,0,1234,CCVE,16096.5859,15918.9517,4.543128000467078e-07
22,15,6,0,1234,CCALP,1099.8709,1095.8281,2.3048063990671608e-07
23,15,6,0,1234,CCALPeps,3171.1524,3167.717,1.4769628138899815e-05
24,17,6,0,1234,CVE,825.4923999999999,825.4762000000001,0.0
25,17,6,0,1234,CCVE,77804.5588,77630.3925,0.0
26,17,6,0,1234,CCALP,1253.0594,1248.4605999999999,0.0
27,17,6,0,1234,CCALPeps,3836.1987,3832.1542999999997,1.700012332833123e-05
28,19,6,0,1234,CVE,4835.525100000001,4835.5116,0.0
29,19,6,0,1234,CCVE,inf,inf,
30,19,6,0,1234,CCALP,1496.8274999999999,1491.6324,0.0
31,19,6,0,1234,CCALPeps,4652.5511,4647.2793,1.900016648331282e-05
32,21,6,0,1234,CVE,inf,inf,
33,21,6,0,1234,CCVE,,,
34,21,6,0,1234,CCALP,1659.2822,1654.6626,2.498001805406602e-16
35,21,6,0,1234,CCALPeps,4975.8467,4970.6913,2.100020951885384e-05
36,23,6,0,1234,CVE,,,
37,23,6,0,1234,CCVE,,,
38,23,6,0,1234,CCALP,1931.3647,1926.1150000000002,9.992007221626409e-17
39,23,6,0,1234,CCALPeps,6174.9376,6168.8297,2.300025300067954e-05
40,25,6,0,1234,CVE,,,
41,25,6,0,1234,CCVE,,,
42,25,6,0,1234,CCALP,2313.8296,2306.0104,0.0
43,25,6,0,1234,CCALPeps,6530.0806,6524.052000000001,2.500028524152764e-05
44,27,6,0,1234,CVE,,,
45,27,6,0,1234,CCVE,,,
46,27,6,0,1234,CCALP,2662.3379,2653.2974000000004,0.0
47,27,6,0,1234,CCALPeps,7715.7687000000005,7708.7785,2.69827506542919e-05
48,29,6,0,1234,CVE,,,
49,29,6,0,1234,CCVE,,,
50,29,6,0,1234,CCALP,2735.4049999999997,2726.6733,2.7755575615628914e-17
51,29,6,0,1234,CCALPeps,8520.0806,8512.2193,2.8888100012053332e-05
