,N,exovarsize,dovar,seed,method,time,query_time,size,lowerbound,upperbound
0,6,6,0,1234,CVE,3.8894999999999995,3.8732999999999995,0.0,0.5166184960000002,0.5166184960000002
1,6,6,0,1234,CCVE,200.93689999999998,100.586,0.0,0.516618496,0.516618496
2,6,6,0,1234,CCALP,197.1987,193.6149,0.0,0.516618496,0.516618496
3,6,6,0,1234,CCALPeps,,,,,
4,7,6,0,1234,CVE,7.505599999999999,7.4911,0.0,0.3458020224000002,0.3458020224000002
5,7,6,0,1234,CCVE,527.4959,430.36049999999994,0.0,0.3458020224,0.3458020224
6,7,6,0,1234,CCALP,230.14839999999998,226.3367,0.0,0.3458020224,0.3458020224
7,7,6,0,1234,CCALPeps,,,,,
8,8,6,0,1234,CVE,16.5149,16.4975,0.0,0.8488778179840002,0.8488778179840002
9,8,6,0,1234,CCVE,2526.5874,2423.2473,0.0,0.8488778179840001,0.8488778179840001
10,8,6,0,1234,CCALP,,,,,
11,8,6,0,1234,CCALPeps,,,,,
12,9,6,0,1234,CVE,64.4076,64.3874,0.0,0.6628337351440002,0.6628337351440002
13,9,6,0,1234,CCVE,inf,inf,,,
14,9,6,0,1234,CCALP,inf,inf,,,
15,9,6,0,1234,CCALPeps,inf,inf,,,
16,10,6,0,1234,CVE,inf,inf,,,
17,10,6,0,1234,CCVE,inf,inf,,,
18,10,6,0,1234,CCALP,inf,inf,,,
19,10,6,0,1234,CCALPeps,inf,inf,,,
20,11,6,0,1234,CVE,inf,inf,,,
21,11,6,0,1234,CCVE,inf,inf,,,
22,11,6,0,1234,CCALP,inf,inf,,,
23,11,6,0,1234,CCALPeps,inf,inf,,,
24,12,6,0,1234,CVE,inf,inf,,,
25,12,6,0,1234,CCVE,inf,inf,,,
26,12,6,0,1234,CCALP,inf,inf,,,
27,12,6,0,1234,CCALPeps,inf,inf,,,
28,13,6,0,1234,CVE,inf,inf,,,
29,13,6,0,1234,CCVE,inf,inf,,,
30,13,6,0,1234,CCALP,inf,inf,,,
31,13,6,0,1234,CCALPeps,inf,inf,,,
32,14,6,0,1234,CVE,inf,inf,,,
33,14,6,0,1234,CCVE,inf,inf,,,
34,14,6,0,1234,CCALP,inf,inf,,,
35,14,6,0,1234,CCALPeps,inf,inf,,,
