,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,1.3782,1.3723,0.0
1,5,6,0,1234,CCVE,84.0235,8.162600000000001,0.0
2,5,6,0,1234,CCALP,278.9444,276.73490000000004,1.1102230246251565e-16
3,5,6,0,1234,CCALPeps,2014.2675,2011.7436000000002,4.810262641674612e-06
4,7,6,0,1234,CVE,2.2523,2.246,0.0
5,7,6,0,1234,CCVE,119.0569,18.7376,0.0
6,7,6,0,1234,CCALP,400.4049,397.8894,0.0
7,7,6,0,1234,CCALPeps,4169.1487,4166.612,7.566369680697682e-06
8,9,6,0,1234,CVE,3.7227000000000006,3.7074,0.0
9,9,6,0,1234,CCVE,181.0402,79.9153,0.0
10,9,6,0,1234,CCALP,572.1403,569.5136,0.0
11,9,6,0,1234,CCALPeps,8421.609,8418.7034,7.358487514019796e-06
12,11,6,0,1234,CVE,8.7167,8.7057,0.0
13,11,6,0,1234,CCVE,480.0951,369.11859999999996,0.0
14,11,6,0,1234,CCALP,857.7474,854.7587,5.551115123125783e-17
15,11,6,0,1234,CCALPeps,15760.7582,15757.670900000001,8.839588637282736e-06
16,13,6,0,1234,CVE,29.836000000000002,29.825800000000005,0.0
17,13,6,0,1234,CCVE,3155.1392,3014.0734,0.0010630919519999393
18,13,6,0,1234,CCALP,1071.8124,1068.3258,0.00014648837299162664
19,13,6,0,1234,CCALPeps,18033.4532,18030.0165,0.000151377332650382
20,15,6,0,1234,CVE,154.9563,154.9434,0.0
21,15,6,0,1234,CCVE,15809.8177,15642.4579,4.543128000467078e-07
22,15,6,0,1234,CCALP,1183.4658,1180.0292,2.304806396180581e-07
23,15,6,0,1234,CCALPeps,25243.4404,25239.7555,9.308180706102398e-06
24,17,6,0,1234,CVE,753.7714,753.7591,0.0
25,17,6,0,1234,CCVE,75465.70629999999,75299.3153,0.0
26,17,6,0,1234,CCALP,1390.7764,1387.2064,0.0
27,17,6,0,1234,CCALPeps,34332.7491,34328.7401,1.389758243205419e-05
28,19,6,0,1234,CVE,4453.9251,4453.9123,0.0
29,19,6,0,1234,CCVE,inf,inf,
30,19,6,0,1234,CCALP,1823.3554,1817.2042000000001,2.220446049250313e-16
31,19,6,0,1234,CCALPeps,44352.7147,44347.9184,1.3117480276103599e-05
32,21,6,0,1234,CVE,inf,inf,
33,21,6,0,1234,CCVE,inf,inf,
34,21,6,0,1234,CCALP,1923.673,1918.2756000000002,3.885780586188048e-16
35,21,6,0,1234,CCALPeps,56664.4934,56658.97069999999,8.049853016534048e-06
36,23,6,0,1234,CVE,inf,inf,
37,23,6,0,1234,CCVE,inf,inf,
38,23,6,0,1234,CCALP,2339.1462,2332.5578,4.440892098500626e-16
39,23,6,0,1234,CCALPeps,63994.355,63988.5046,1.4796992230997618e-05
40,25,6,0,1234,CVE,inf,inf,
41,25,6,0,1234,CCVE,inf,inf,
42,25,6,0,1234,CCALP,2502.8747,2495.596,5.995204332975846e-16
43,25,6,0,1234,CCALPeps,68972.2453,68964.75039999999,1.4466569295157328e-05
44,27,6,0,1234,CVE,inf,inf,
45,27,6,0,1234,CCVE,inf,inf,
46,27,6,0,1234,CCALP,2640.3541,2633.3208999999997,4.440892098500626e-16
47,27,6,0,1234,CCALPeps,inf,inf,
48,29,6,0,1234,CVE,inf,inf,
49,29,6,0,1234,CCVE,inf,inf,
50,29,6,0,1234,CCALP,3163.6580999999996,3154.1408,4.718447854656915e-16
51,29,6,0,1234,CCALPeps,inf,inf,
