,N,exovarsize,dovar,seed,method,time,size
0,2,6,0,1234,CVE,inf,
1,2,6,0,1234,CCVE,inf,
2,2,6,0,1234,CCALP,inf,
3,2,6,0,1234,CCALPeps,inf,
4,3,6,0,1234,CVE,inf,
5,3,6,0,1234,CCVE,inf,
6,3,6,0,1234,CCALP,inf,
7,3,6,0,1234,CCALPeps,inf,
8,4,6,0,1234,CVE,inf,
9,4,6,0,1234,CCVE,inf,
10,4,6,0,1234,CCALP,inf,
11,4,6,0,1234,CCALPeps,inf,
