,N,seed,method,time,query_time,size,lowerbound,upperbound
0,5,1234,CVE,3.0796,3.0636,0.0,0.9253716881664275,0.9253716881664275
1,5,1234,CCVE,139.2422,45.3368,0.0,0.9253716881664275,0.9253716881664275
2,5,1234,CCALPeps,460.6804,457.55820000000006,1.1102230246251565e-16,0.9443987446020042,0.9443987446020042
3,6,1234,CVE,4.1986,4.1847,0.0,0.9511876167902436,0.9511876167902436
4,6,1234,CCVE,232.2117,124.45139999999999,0.0,0.9511876167902436,0.9511876167902436
5,6,1234,CCALPeps,772.174,768.6404,8.881784197001253e-17,0.9477339244571394,0.9477339244571397
6,7,1234,CVE,13.887199999999998,13.8697,0.0,0.9510878019665394,0.9510878019665394
7,7,1234,CCVE,inf,inf,,,
8,7,1234,CCALPeps,inf,inf,,,
9,8,1234,CVE,inf,inf,,,
10,8,1234,CCVE,inf,inf,,,
11,8,1234,CCALPeps,inf,inf,,,
12,9,1234,CVE,inf,inf,,,
13,9,1234,CCVE,inf,inf,,,
14,9,1234,CCALPeps,inf,inf,,,
15,10,1234,CVE,inf,inf,,,
16,10,1234,CCVE,inf,inf,,,
17,10,1234,CCALPeps,inf,inf,,,
18,11,1234,CVE,inf,inf,,,
19,11,1234,CCVE,inf,inf,,,
20,11,1234,CCALPeps,inf,inf,,,
21,12,1234,CVE,inf,inf,,,
22,12,1234,CCVE,inf,inf,,,
23,12,1234,CCALPeps,inf,inf,,,
24,13,1234,CVE,inf,inf,,,
25,13,1234,CCVE,inf,inf,,,
26,13,1234,CCALPeps,inf,inf,,,
27,14,1234,CVE,inf,inf,,,
28,14,1234,CCVE,inf,inf,,,
29,14,1234,CCALPeps,inf,inf,,,
