,N,dovar,endovarsize,target,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,3,-1,1234,CVE,2.4514,2.0458000000000003,0.06500000000000002,0.11808,0.01692,0.06500000000000002,0.11808,0.01692
1,3,0,3,-1,1234,CCVE,107.3508,4.795,0.06500000000000002,0.11808,0.016920000000000004,0.06500000000000002,0.11808,0.016920000000000004
2,3,0,3,-1,1234,CCALPCCALPeps,,,,,,,,
