,N,dovar,endovarsize,target,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,3,3,1234,CVE,,,,,,,,
1,3,0,3,3,1234,CCVE,,,,,,,,
2,3,0,3,3,1234,CCALP,,,,,,,,
3,3,0,3,3,1234,CCALPeps,,,,,,,,
