,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,1.9111999999999998,1.9044,0.0
1,5,6,0,1234,CCVE,161.3318,24.6545,0.0
2,5,6,0,1234,CCALP,292.3183,289.98519999999996,0.0
3,5,6,0,1234,CCALPeps,2481.5999,2478.9799,5.366085633262685e-06
4,6,6,0,1234,CVE,2.7359,2.7268999999999997,0.0
5,6,6,0,1234,CCVE,247.75099999999998,99.485,0.0
6,6,6,0,1234,CCALP,360.9872,358.398,0.0
7,6,6,0,1234,CCALPeps,3945.1760999999997,3942.0334000000003,6.170813106520789e-06
8,7,6,0,1234,CVE,7.6168000000000005,7.606699999999999,0.0
9,7,6,0,1234,CCVE,643.426,474.5126,0.0
10,7,6,0,1234,CCALP,442.36580000000004,439.15060000000005,0.0
11,7,6,0,1234,CCALPeps,5450.1862,5447.2305,7.769709985261386e-06
12,8,6,0,1234,CVE,36.2125,36.1996,0.0
13,8,6,0,1234,CCVE,3284.6955000000003,3123.3632,0.0
14,8,6,0,1234,CCALP,525.3557,522.6467,1.1102230246251565e-16
15,8,6,0,1234,CCALPeps,7497.1029,7493.559299999999,5.355185746291902e-06
16,9,6,0,1234,CVE,178.60309999999998,178.5881,0.0
17,9,6,0,1234,CCVE,inf,inf,
18,9,6,0,1234,CCALP,642.2962,639.2918,1.1102230246251565e-16
19,9,6,0,1234,CCALPeps,9904.0041,9900.786600000001,9.867060811563632e-06
20,10,6,0,1234,CVE,758.0751,758.0602,0.0
21,10,6,0,1234,CCVE,inf,inf,
22,10,6,0,1234,CCALP,731.4091000000001,728.2735,2.2204460492503132e-17
23,10,6,0,1234,CCALPeps,12821.641599999999,12817.4308,7.1237541761748345e-06
24,11,6,0,1234,CVE,4130.2293,4130.2116000000005,0.0
25,11,6,0,1234,CCVE,inf,inf,
26,11,6,0,1234,CCALP,925.6664000000001,921.9003,2.7755575615628914e-17
27,11,6,0,1234,CCALPeps,15798.198,15794.045499999998,6.500537485390478e-06
28,12,6,0,1234,CVE,inf,inf,
29,12,6,0,1234,CCVE,inf,inf,
30,12,6,0,1234,CCALP,991.0752999999999,987.4474,2.220446049250313e-16
31,12,6,0,1234,CCALPeps,21963.631400000002,21959.553200000002,7.58547555397282e-06
32,13,6,0,1234,CVE,inf,inf,
33,13,6,0,1234,CCVE,inf,inf,
34,13,6,0,1234,CCALP,1046.4636999999998,1042.596,1.1102230246251565e-16
35,13,6,0,1234,CCALPeps,28810.3913,28806.164299999997,9.025259061501423e-06
36,14,6,0,1234,CVE,inf,inf,
37,14,6,0,1234,CCVE,,,
38,14,6,0,1234,CCALP,1137.7751,1133.9423000000002,0.0
39,14,6,0,1234,CCALPeps,31643.6769,31639.5521,2.871508071511375e-06
