,N,exovarsize,seed,method,time,size
0,4,6,1234,CVE,2.5734,0.0
1,4,6,1234,CCVE,114.63489999999999,0.0
2,4,6,1234,CCALP,1399.2522000000001,3.234742328250828e-06
3,5,6,1234,CVE,4.3906,0.0
4,5,6,1234,CCVE,150.0008,0.0
5,5,6,1234,CCALP,2679.9761,4.5914657665935275e-05
