,N,exovarsize,seed,method,time,size
0,4,6,1234,CVE,2.3258,0.0
1,4,6,1234,CCVE,96.5159,0.0
2,4,6,1234,CCALP,1361.0767,3.2338560403744054e-06
3,5,6,1234,CVE,4.3626,0.0
4,5,6,1234,CCVE,152.6559,0.0
5,5,6,1234,CCALP,2579.6663,4.590987582735462e-05
