,N,time
0,3,0.40862302
1,4,0.42032126
2,5,1.0275628399999999
3,6,1.0326249
4,7,1.9056484800000004
5,8,1.8414882000000001
6,9,2.881490320000001
7,10,2.8293710800000005
8,11,3.5861678399999994
9,12,3.6601014
10,13,4.680130720000001
11,14,4.66779206
12,15,5.65665744
13,16,5.452929359999999
14,17,6.65811156
15,18,6.66238022
16,19,7.495097940000001
17,20,7.33361874
18,21,8.4928074
19,22,8.49452316
20,23,9.43711438
21,24,9.551956459999998
