,N,time
0,3,0.1519284
1,4,0.18638274000000005
2,5,0.22772204000000001
3,6,0.25073974
4,7,0.43469478000000006
5,8,0.6761560200000001
6,9,5.66689414
7,10,3.7274307999999996
8,11,12.255798
9,12,34.14761718
