,N,mean_size
0,3,0.031439
1,4,0.036164
2,5,0.014340773400000001
3,6,0.0051071315999999985
4,7,0.005761450876000003
5,8,0.011751127621000002
6,9,0.006557884359845795
7,10,0.000728380486307201
