,N,exovarsize,dovar,seed,method,time,size
0,4,6,0,1234,CVE,2.3131,0.0
1,4,6,0,1234,CCVE,111.2367,0.0
2,4,6,0,1234,CCALP,151.1983,0.0
3,4,6,0,1234,CCALPeps,644.0162,3.08105287436522e-06
