,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,3,0,-1,3,1234,CVE,2.2896,1.8814,0.15680000000000002,0.15680000000000002,0.00012307692307692307,0.00012307692307692307,0.04307692307692308,0.04307692307692308
1,3,0,-1,3,1234,CCVE,101.1628,4.482,0.1568,0.1568,0.0001230769230769231,0.0001230769230769231,0.04307692307692308,0.04307692307692308
2,3,0,-1,3,1234,CCALPeps,3309.9595999999997,3307.1169999999997,0.15677064061234808,0.1567706406123482,0.00012524708594302444,0.0001252470859430246,0.04310411230170881,0.043104112301708894
3,3,0,-1,3,2468,CVE,2.2862,1.8676,0.19930765902206837,0.19930765902206837,0.0006923409779316313,0.0006923409779316313,0.0,0.0
4,3,0,-1,3,2468,CCVE,102.32300000000001,5.3546000000000005,0.19930765902206837,0.19930765902206837,0.0006923409779316313,0.0006923409779316313,0.0,0.0
5,3,0,-1,3,2468,CCALPeps,4909.404799999999,4906.232800000001,0.1992683519960651,0.1992683519960651,0.0006995897770442717,0.0006995897770442738,3.2058226890625446e-05,3.2058226890625615e-05
6,3,0,-1,3,3702,CVE,2.57,2.1594,0.0016636805733299207,0.0016636805733299207,0.15963654978244177,0.15963654978244177,0.03869976964422831,0.03869976964422831
7,3,0,-1,3,3702,CCVE,97.963,5.8398,0.0016636805733299207,0.0016636805733299207,0.15963654978244177,0.15963654978244177,0.03869976964422832,0.03869976964422832
8,3,0,-1,3,3702,CCALPeps,3452.6102,3449.8407999999995,0.0016727355929432523,0.001672735592943255,0.15961582500388377,0.1596158250038838,0.03871143940317294,0.03871143940317294
9,3,0,-1,3,4936,CVE,2.4219999999999997,1.9544000000000001,0.0,0.0,0.0,0.0,0.2,0.2
10,3,0,-1,3,4936,CCVE,114.48020000000001,5.628000000000001,0.0,0.0,0.0,0.0,0.2,0.2
11,3,0,-1,3,4936,CCALPeps,3793.9903999999997,3790.8594,0.00027538562311747657,0.00027538562311747744,7.169856931858882e-05,7.169856931858902e-05,0.19965291580756392,0.19965291580756392
12,3,0,-1,3,6170,CVE,2.5492,2.1028,0.1901893287435456,0.1901893287435456,0.008984509466437177,0.008984509466437177,0.0008261617900172114,0.0008261617900172114
13,3,0,-1,3,6170,CCVE,100.5482,4.5944,0.1901893287435456,0.1901893287435456,0.008984509466437179,0.008984509466437179,0.0008261617900172116,0.0008261617900172116
14,3,0,-1,3,6170,CCALPeps,4410.9422,4408.0522,0.19017460322471025,0.19017460322471025,0.00899561948976646,0.00899561948976646,0.0008297772855232864,0.0008297772855232922
15,3,0,-1,3,7404,CVE,2.5606,2.1106000000000003,0.0007061713233036537,0.0007061713233036537,0.01568928461774639,0.01568928461774639,0.18360454405894994,0.18360454405894994
