,N,exovarsize,dovar,seed,method,time,size
0,2,6,0,1234,CVE,1.3838,0.0
1,2,6,0,1234,CCVE,63.1884,0.0
2,2,6,0,1234,CCALP,54.943000000000005,0.0
3,2,6,0,1234,CCALPeps,142.4096,2.1130408960789994e-06
