,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,1.9644,1.9576999999999998,0.0
1,5,6,0,1234,CCVE,176.5372,27.7112,0.0
2,5,6,0,1234,CCALP,260.9121,258.0892,0.0
3,5,6,0,1234,CCALPeps,677.6051,675.3731,5.000009998756827e-06
4,6,6,0,1234,CVE,4.4115,4.4005,0.0
5,6,6,0,1234,CCVE,266.4848,112.45009999999999,0.0
6,6,6,0,1234,CCALP,320.4883,317.9327,0.0
7,6,6,0,1234,CCALPeps,974.6595,971.6298,6.000014998963632e-06
8,7,6,0,1234,CVE,8.47,8.4605,0.0
9,7,6,0,1234,CCVE,666.62,496.62219999999996,0.0
10,7,6,0,1234,CCALP,374.395,371.2984,0.0
11,7,6,0,1234,CCALPeps,1248.172,1245.7209,7.00002099867092e-06
12,8,6,0,1234,CVE,29.532,29.5212,0.0
13,8,6,0,1234,CCVE,3623.256,3419.6811000000002,0.0
14,8,6,0,1234,CCALP,463.66049999999996,460.9906,1.1102230246251565e-16
15,8,6,0,1234,CCALPeps,1546.789,1543.9671,8.000027998655845e-06
16,9,6,0,1234,CVE,179.8348,179.8195,0.0
17,9,6,0,1234,CCVE,17001.042999999998,16780.2192,0.0
18,9,6,0,1234,CCALP,520.0877,517.1497999999999,1.1102230246251565e-16
19,9,6,0,1234,CCALPeps,1761.8908,1758.5521,9.00003599871857e-06
20,10,6,0,1234,CVE,686.0537,686.0375,0.0
21,10,6,0,1234,CCVE,80867.5692,80661.5374,0.0
22,10,6,0,1234,CCALP,613.8632,610.3169,0.0
23,10,6,0,1234,CCALPeps,1988.369,1985.3156999999999,1.0000044998859093e-05
24,11,6,0,1234,CVE,4276.407499999999,4276.3939,0.0
25,11,6,0,1234,CCVE,inf,inf,
26,11,6,0,1234,CCALP,676.8147,673.6641999999999,2.7755575615628914e-17
27,11,6,0,1234,CCALPeps,2451.0742999999998,2447.0448,1.1000054998538955e-05
28,12,6,0,1234,CVE,inf,inf,
29,12,6,0,1234,CCVE,inf,inf,
30,12,6,0,1234,CCALP,807.8343,804.2552,2.220446049250313e-16
31,12,6,0,1234,CCALPeps,2684.1799,2680.2821,1.2000065998729604e-05
32,13,6,0,1234,CVE,inf,inf,
33,13,6,0,1234,CCVE,inf,inf,
34,13,6,0,1234,CCALP,894.885,891.4167,1.1102230246251565e-16
35,13,6,0,1234,CCALPeps,2940.8124,2936.6942,1.3000077998226444e-05
36,14,6,0,1234,CVE,inf,inf,
37,14,6,0,1234,CCVE,inf,inf,
38,14,6,0,1234,CCALP,998.3695,993.9164000000001,0.0
39,14,6,0,1234,CCALPeps,3205.7185,3201.7978,1.40000909983784e-05
