,N,dovar,endovarsize,obsvar,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,3,-1,1234,CVE,2.45,2.024,0.15680000000000002,0.00012307692307692307,0.04307692307692308,0.15680000000000002,0.00012307692307692307,0.04307692307692308
1,3,0,3,-1,1234,CCVE,107.59079999999999,4.7628,0.1568,0.0001230769230769231,0.04307692307692308,0.1568,0.0001230769230769231,0.04307692307692308
2,3,0,3,-1,1234,CCALPeps,3378.9218,3376.143,0.15677064061234808,0.00012524708594302444,0.04310411230170883,0.15677064061234816,0.0001252470859430246,0.04310411230170892
