,N,exovarsize,dovar,seed,method,time,query_time,size,lowerbound,upperbound
0,6,6,0,1234,CVE,3.8076999999999996,3.7905,0.0,0.5166184960000002,0.5166184960000002
1,6,6,0,1234,CCVE,209.6621,102.7296,0.0,0.516618496,0.516618496
2,6,6,0,1234,CCALP,203.8428,200.0462,0.0,0.516618496,0.516618496
3,6,6,0,1234,CCALPeps,450.83990000000006,447.2347,6.00001499895253e-06,0.5166155245099935,0.5166215245249924
4,7,6,0,1234,CVE,7.4702,7.4559,0.0,0.3458020224000002,0.3458020224000002
5,7,6,0,1234,CCVE,579.5862,475.0658,0.0,0.3458020224,0.3458020224
6,7,6,0,1234,CCALP,236.9502,232.8763,0.0,0.3458020224,0.3458020224
7,7,6,0,1234,CCALPeps,540.0015000000001,536.4087999999999,7.000020998687573e-06,0.34579770512234537,0.34580470514334405
8,8,6,0,1234,CVE,22.3424,22.3264,0.0,0.8488778179840002,0.8488778179840002
9,8,6,0,1234,CCVE,2520.8396000000002,2418.1498,0.0,0.8488778179840001,0.8488778179840001
10,8,6,0,1234,CCALP,251.72179999999997,247.7629,1.1102230246251565e-16,0.8488778179840001,0.8488778179840001
11,8,6,0,1234,CCALPeps,673.9419,669.9839,8.00002799863364e-06,0.8488758876508428,0.8488838876788414
12,9,6,0,1234,CVE,69.1048,69.08279999999999,0.0,0.6628337351440002,0.6628337351440002
13,9,6,0,1234,CCVE,14771.7269,14651.563699999999,0.0,0.662833735144,0.662833735144
14,9,6,0,1234,CCALP,317.9554,312.565,1.1102230246251565e-16,0.6628337351439999,0.662833735144
15,9,6,0,1234,CCALPeps,893.7864,889.8539000000001,9.000035998729671e-06,0.6628300113306247,0.6628390113666234
16,10,6,0,1234,CVE,618.4272,618.4086,0.0,0.8134002142940581,0.8134002142940581
17,10,6,0,1234,CCVE,inf,inf,,,
18,10,6,0,1234,CCALP,inf,inf,,,
19,10,6,0,1234,CCALPeps,inf,inf,,,
20,11,6,0,1234,CVE,inf,inf,,,
21,11,6,0,1234,CCVE,inf,inf,,,
22,11,6,0,1234,CCALP,inf,inf,,,
23,11,6,0,1234,CCALPeps,inf,inf,,,
24,12,6,0,1234,CVE,inf,inf,,,
25,12,6,0,1234,CCVE,inf,inf,,,
26,12,6,0,1234,CCALP,inf,inf,,,
27,12,6,0,1234,CCALPeps,inf,inf,,,
28,13,6,0,1234,CVE,inf,inf,,,
29,13,6,0,1234,CCVE,inf,inf,,,
30,13,6,0,1234,CCALP,inf,inf,,,
31,13,6,0,1234,CCALPeps,inf,inf,,,
32,14,6,0,1234,CVE,inf,inf,,,
33,14,6,0,1234,CCVE,inf,inf,,,
34,14,6,0,1234,CCALP,inf,inf,,,
35,14,6,0,1234,CCALPeps,1407.1928,1402.2752,1.4000090998300685e-05,0.9783367282894728,0.9783507283804711
