,N,exovarsize,dovar,seed,method,time,size
0,2,6,0,1234,CVE,1.2344,0.0
1,2,6,0,1234,CCVE,45.2562,0.0
2,2,6,0,1234,CCALP,62.459500000000006,2.7755575615628914e-17
3,2,6,0,1234,CCALPeps,135.05329999999998,2.5569533069758066e-06
4,3,6,0,1234,CVE,1.9547,0.0
5,3,6,0,1234,CCVE,75.51050000000001,0.0
6,3,6,0,1234,CCALP,133.4426,0.0
7,3,6,0,1234,CCALPeps,335.5069,3.4120899163991856e-06
8,4,6,0,1234,CVE,1.8068000000000002,0.0
9,4,6,0,1234,CCVE,84.191,0.0
10,4,6,0,1234,CCALP,200.75,0.0
11,4,6,0,1234,CCALPeps,567.647,3.2375594117839412e-06
