,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,2.9853,2.9701999999999997,0.0
1,5,6,0,1234,CCVE,128.8108,41.2928,0.0
2,5,6,0,1234,CCALP,174.5135,171.0993,0.0
3,5,6,0,1234,CCALPeps,351.10810000000004,348.12489999999997,5.000009998790134e-06
4,6,6,0,1234,CVE,3.5127,3.4973,0.0
5,6,6,0,1234,CCVE,200.2689,99.7778,0.0
6,6,6,0,1234,CCALP,206.44,202.49880000000002,0.0
7,6,6,0,1234,CCALPeps,429.22889999999995,425.85290000000003,6.000014998963632e-06
8,7,6,0,1234,CVE,7.760299999999999,7.7452,0.0
9,7,6,0,1234,CCVE,inf,inf,
10,7,6,0,1234,CCALP,,,
11,7,6,0,1234,CCALPeps,,,
12,8,6,0,1234,CVE,,,
13,8,6,0,1234,CCVE,,,
14,8,6,0,1234,CCALP,,,
15,8,6,0,1234,CCALPeps,,,
16,9,6,0,1234,CVE,,,
17,9,6,0,1234,CCVE,,,
18,9,6,0,1234,CCALP,,,
19,9,6,0,1234,CCALPeps,,,
20,10,6,0,1234,CVE,,,
21,10,6,0,1234,CCVE,,,
22,10,6,0,1234,CCALP,,,
23,10,6,0,1234,CCALPeps,,,
24,11,6,0,1234,CVE,,,
25,11,6,0,1234,CCVE,,,
26,11,6,0,1234,CCALP,,,
27,11,6,0,1234,CCALPeps,,,
28,12,6,0,1234,CVE,,,
29,12,6,0,1234,CCVE,,,
30,12,6,0,1234,CCALP,,,
31,12,6,0,1234,CCALPeps,,,
32,13,6,0,1234,CVE,,,
33,13,6,0,1234,CCVE,,,
34,13,6,0,1234,CCALP,,,
35,13,6,0,1234,CCALPeps,,,
36,14,6,0,1234,CVE,,,
37,14,6,0,1234,CCVE,,,
38,14,6,0,1234,CCALP,,,
39,14,6,0,1234,CCALPeps,,,
