,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,-1,2,1234,CVE,2.148,1.7454,0.19223539027380465,0.007764609726195343,0.19223539027380465,0.007764609726195343,,
1,3,0,-1,2,1234,CCVE,83.045,3.0580000000000003,0.19223539027380465,0.007764609726195343,0.19223539027380465,0.007764609726195343,,
2,3,0,-1,2,1234,CCALPeps,185.2374,182.7886,0.19220037675627025,0.007799623243729759,0.19220037675627025,0.007799623243729759,,
3,5,0,-1,2,1234,CVE,3.3076,2.8108,0.09321193061510584,0.10678806938489416,0.09321193061510584,0.10678806938489416,,
4,5,0,-1,2,1234,CCVE,129.45120000000003,12.024400000000002,0.09321193061510583,0.10678806938489416,0.09321193061510583,0.10678806938489416,,
5,5,0,-1,2,1234,CCALPeps,inf,inf,,,,,,
6,7,0,-1,2,1234,CVE,5.6516,5.1072,0.012292659107895905,0.1877073408921041,0.012292659107895905,0.1877073408921041,,
7,7,0,-1,2,1234,CCVE,209.6334,55.88680000000001,0.012292659107895905,0.1877073408921041,0.012292659107895905,0.1877073408921041,,
8,7,0,-1,2,1234,CCALPeps,,,,,,,,
9,9,0,-1,2,1234,CVE,20.7176,16.592200000000002,0.011065620680184067,0.18893437931981594,0.011065620680184067,0.18893437931981594,,
10,9,0,-1,2,1234,CCVE,727.6788,557.2864,0.011065620680184067,0.18893437931981594,0.011065620680184067,0.18893437931981594,,
11,9,0,-1,2,1234,CCALPeps,,,,,,,,
12,11,0,-1,2,1234,CVE,190.9654,190.34160000000003,0.09470039619245592,0.10529960380754408,0.09470039619245592,0.10529960380754408,,
13,11,0,-1,2,1234,CCVE,inf,inf,,,,,,
14,11,0,-1,2,1234,CCALPeps,,,,,,,,
15,13,0,-1,2,1234,CVE,inf,inf,,,,,,
16,13,0,-1,2,1234,CCVE,,,,,,,,
17,13,0,-1,2,1234,CCALPeps,,,,,,,,
