,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,-1,2,1234,CVE,2.1308,1.6865999999999999,0.19223539027380465,0.007764609726195343,0.19223539027380465,0.007764609726195343,,
1,3,0,-1,2,1234,CCVE,82.6574,3.1734,0.19223539027380465,0.007764609726195343,0.19223539027380465,0.007764609726195343,,
2,3,0,-1,2,1234,CCALPeps,185.245,182.7738,0.19220037675627025,0.007799623243729759,0.19220037675627025,0.007799623243729759,,
