,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,inf,inf,
1,5,6,0,1234,CCVE,,,
2,5,6,0,1234,CCALP,,,
3,5,6,0,1234,CCALPeps,,,
4,6,6,0,1234,CVE,,,
5,6,6,0,1234,CCVE,,,
6,6,6,0,1234,CCALP,,,
7,6,6,0,1234,CCALPeps,,,
8,7,6,0,1234,CVE,,,
9,7,6,0,1234,CCVE,,,
10,7,6,0,1234,CCALP,,,
11,7,6,0,1234,CCALPeps,,,
12,8,6,0,1234,CVE,,,
13,8,6,0,1234,CCVE,,,
14,8,6,0,1234,CCALP,,,
15,8,6,0,1234,CCALPeps,,,
16,9,6,0,1234,CVE,,,
17,9,6,0,1234,CCVE,,,
18,9,6,0,1234,CCALP,,,
19,9,6,0,1234,CCALPeps,,,
20,10,6,0,1234,CVE,,,
21,10,6,0,1234,CCVE,,,
22,10,6,0,1234,CCALP,,,
23,10,6,0,1234,CCALPeps,,,
24,11,6,0,1234,CVE,,,
25,11,6,0,1234,CCVE,,,
26,11,6,0,1234,CCALP,,,
27,11,6,0,1234,CCALPeps,,,
28,12,6,0,1234,CVE,,,
29,12,6,0,1234,CCVE,,,
30,12,6,0,1234,CCALP,,,
31,12,6,0,1234,CCALPeps,,,
32,13,6,0,1234,CVE,,,
33,13,6,0,1234,CCVE,,,
34,13,6,0,1234,CCALP,,,
35,13,6,0,1234,CCALPeps,,,
36,14,6,0,1234,CVE,,,
37,14,6,0,1234,CCVE,,,
38,14,6,0,1234,CCALP,,,
39,14,6,0,1234,CCALPeps,,,
