,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,3.0925000000000002,3.0763,0.0
1,5,6,0,1234,CCVE,144.9659,48.969,0.0
2,5,6,0,1234,CCALP,166.0327,162.9001,0.0
3,5,6,0,1234,CCALPeps,340.19809999999995,337.0851,5.000009998801236e-06
4,6,6,0,1234,CVE,3.3256,3.3101999999999996,0.0
5,6,6,0,1234,CCVE,282.1798,132.0917,0.0
6,6,6,0,1234,CCALP,210.3832,206.78699999999998,0.0
7,6,6,0,1234,CCALPeps,456.41400000000004,453.0748,6.000014998974734e-06
8,7,6,0,1234,CVE,8.8739,8.8574,0.0
9,7,6,0,1234,CCVE,534.0971000000001,436.1155,0.0
10,7,6,0,1234,CCALP,243.63670000000002,239.77550000000002,0.0
11,7,6,0,1234,CCALPeps,672.0525,667.8912,7.00002099867092e-06
12,8,6,0,1234,CVE,20.2726,20.240199999999998,0.0
13,8,6,0,1234,CCVE,inf,inf,
14,8,6,0,1234,CCALP,,,
15,8,6,0,1234,CCALPeps,,,
16,9,6,0,1234,CVE,,,
17,9,6,0,1234,CCVE,,,
18,9,6,0,1234,CCALP,,,
19,9,6,0,1234,CCALPeps,,,
20,10,6,0,1234,CVE,,,
21,10,6,0,1234,CCVE,,,
22,10,6,0,1234,CCALP,,,
23,10,6,0,1234,CCALPeps,,,
24,11,6,0,1234,CVE,,,
25,11,6,0,1234,CCVE,,,
26,11,6,0,1234,CCALP,,,
27,11,6,0,1234,CCALPeps,,,
28,12,6,0,1234,CVE,,,
29,12,6,0,1234,CCVE,,,
30,12,6,0,1234,CCALP,,,
31,12,6,0,1234,CCALPeps,,,
32,13,6,0,1234,CVE,,,
33,13,6,0,1234,CCVE,,,
34,13,6,0,1234,CCALP,,,
35,13,6,0,1234,CCALPeps,,,
36,14,6,0,1234,CVE,,,
37,14,6,0,1234,CCVE,,,
38,14,6,0,1234,CCALP,,,
39,14,6,0,1234,CCALPeps,,,
