,N,exovarsize,dovar,seed,method,time,size
0,5,6,0,1234,CVE,2.5982,0.0
1,5,6,0,1234,CCVE,93.8538,0.0
2,5,6,0,1234,CCALP,200.3097,1.1102230246251565e-16
3,5,6,0,1234,CCALPeps,913.3173,4.88232894517715e-06
