,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,2.1018,2.0817,0.0
1,5,6,0,1234,CCVE,144.7788,24.9877,0.0
2,5,6,0,1234,CCALP,245.2279,242.75410000000002,0.0
3,5,6,0,1234,CCALPeps,666.7597,664.5415,5.000009998790134e-06
4,6,6,0,1234,CVE,2.9505,2.9307,0.0
5,6,6,0,1234,CCVE,244.0244,109.7953,0.0
6,6,6,0,1234,CCALP,347.3075,344.6448,0.0
7,6,6,0,1234,CCALPeps,927.6030000000001,924.8543,6.00001499895253e-06
8,7,6,0,1234,CVE,7.550700000000001,6.1435,0.0
9,7,6,0,1234,CCVE,605.4981,475.9362,0.0
10,7,6,0,1234,CCALP,359.7791,357.1259,0.0
11,7,6,0,1234,CCALPeps,1250.5691,1247.3328,7.000020998687573e-06
12,8,6,0,1234,CVE,26.1829,26.160899999999998,0.0
13,8,6,0,1234,CCVE,3216.2264,3054.9345000000003,0.0
14,8,6,0,1234,CCALP,439.4419,436.7638,1.1102230246251565e-16
15,8,6,0,1234,CCALPeps,1502.2359000000001,1498.9316999999999,8.00002799867805e-06
16,9,6,0,1234,CVE,131.93869999999998,131.9075,0.0
17,9,6,0,1234,CCVE,16937.6716,16753.9817,0.0
18,9,6,0,1234,CCALP,602.152,599.0521,1.1102230246251565e-16
19,9,6,0,1234,CCALPeps,1712.7096000000001,1709.6105,9.00003599871857e-06
20,10,6,0,1234,CVE,734.3792000000001,734.3491,0.0
21,10,6,0,1234,CCVE,82105.56950000001,81902.3711,0.0
22,10,6,0,1234,CCALP,602.4857,599.1904999999999,2.2204460492503132e-17
23,10,6,0,1234,CCALPeps,1994.2718,1990.9679,1.0000044998814683e-05
24,11,6,0,1234,CVE,4450.2685,4450.2203,0.0
25,11,6,0,1234,CCVE,inf,inf,
26,11,6,0,1234,CCALP,666.3100000000001,663.1556,2.7755575615628914e-17
27,11,6,0,1234,CCALPeps,2381.8908,2378.0863,1.1000054998552833e-05
28,12,6,0,1234,CVE,32325.9749,32325.923500000004,0.0
29,12,6,0,1234,CCVE,inf,inf,
30,12,6,0,1234,CCALP,733.5081,730.2948,2.220446049250313e-16
31,12,6,0,1234,CCALPeps,2720.5038,2716.2858,1.2000065998651887e-05
32,13,6,0,1234,CVE,,,
33,13,6,0,1234,CCVE,inf,inf,
34,13,6,0,1234,CCALP,902.7627,898.8198,1.1102230246251565e-16
35,13,6,0,1234,CCALPeps,3124.5364,3119.9961,1.3000077998226444e-05
36,14,6,0,1234,CVE,,,
37,14,6,0,1234,CCVE,inf,inf,
38,14,6,0,1234,CCALP,960.1987000000001,956.0791999999999,0.0
39,14,6,0,1234,CCALPeps,3176.4165000000003,3171.7725,1.4000090998345095e-05
