,N,exovarsize,dovar,seed,method,time,query_time,size
0,6,6,0,1234,CVE,3.9198999999999997,3.9036,0.0
1,6,6,0,1234,CCVE,240.15720000000002,119.9616,0.0
2,6,6,0,1234,CCALP,242.1709,238.08919999999998,0.0
3,6,6,0,1234,CCALPeps,530.1605,526.0872,6.000014998963632e-06
4,7,6,0,1234,CVE,7.1355,7.1203,0.0
5,7,6,0,1234,CCVE,inf,inf,
6,7,6,0,1234,CCALP,320.1134,315.4923,0.0
7,7,6,0,1234,CCALPeps,inf,inf,
8,8,6,0,1234,CVE,20.261,20.2438,0.0
9,8,6,0,1234,CCVE,inf,inf,
10,8,6,0,1234,CCALP,233.3496,228.87689999999998,1.1102230246251565e-16
11,8,6,0,1234,CCALPeps,657.3709,653.8661,8.000027998666948e-06
12,9,6,0,1234,CVE,99.5676,99.5405,0.0
13,9,6,0,1234,CCVE,inf,inf,
14,9,6,0,1234,CCALP,328.8097,323.5217,1.1102230246251565e-16
15,9,6,0,1234,CCALPeps,inf,inf,
16,10,6,0,1234,CVE,514.5223,514.5047000000001,0.0
17,10,6,0,1234,CCVE,inf,inf,
18,10,6,0,1234,CCALP,312.99490000000003,308.08209999999997,4.4408920985006264e-17
19,10,6,0,1234,CCALPeps,inf,inf,
20,11,6,0,1234,CVE,inf,inf,
21,11,6,0,1234,CCVE,inf,inf,
22,11,6,0,1234,CCALP,366.2,361.14459999999997,2.7755575615628914e-17
23,11,6,0,1234,CCALPeps,inf,inf,
24,12,6,0,1234,CVE,inf,inf,
25,12,6,0,1234,CCVE,inf,inf,
26,12,6,0,1234,CCALP,420.4788,414.7165,2.220446049250313e-16
27,12,6,0,1234,CCALPeps,inf,inf,
28,13,6,0,1234,CVE,inf,inf,
29,13,6,0,1234,CCVE,inf,inf,
30,13,6,0,1234,CCALP,480.4405,473.1888,1.1102230246251565e-16
31,13,6,0,1234,CCALPeps,inf,inf,
32,14,6,0,1234,CVE,inf,inf,
33,14,6,0,1234,CCVE,inf,inf,
34,14,6,0,1234,CCALP,472.89660000000003,467.0856,0.0
35,14,6,0,1234,CCALPeps,inf,inf,
