,N,dovar,endovarsize,target,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,3,-1,1234,CVE,2.34,1.9236,0.06500000000000002,0.11808,0.01692,0.06500000000000002,0.11808,0.01692
1,3,0,3,-1,1234,CCVE,108.9358,4.617,0.06500000000000002,0.11808,0.016920000000000004,0.06500000000000002,0.11808,0.016920000000000004
2,3,0,3,-1,1234,CCALP,,,,,,,,
3,3,0,3,-1,1234,CCALPeps,1654.6126,1651.6350000000002,0.2,0.0,0.0,0.2,0.0,0.0
