,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,3.0907,3.0753,0.0
1,5,6,0,1234,CCVE,134.3319,39.678399999999996,0.0
2,5,6,0,1234,CCALP,172.1132,168.9374,0.0
3,5,6,0,1234,CCALPeps,331.1172,327.9656,5.000009998790134e-06
4,6,6,0,1234,CVE,4.2609,4.2398,0.0
5,6,6,0,1234,CCVE,188.7336,95.3032,0.0
6,6,6,0,1234,CCALP,221.29049999999998,217.32829999999998,0.0
7,6,6,0,1234,CCALPeps,488.31149999999997,484.9225,6.000014998941428e-06
8,7,6,0,1234,CVE,14.565299999999999,14.5475,0.0
9,7,6,0,1234,CCVE,inf,inf,
10,7,6,0,1234,CCALP,inf,inf,
11,7,6,0,1234,CCALPeps,inf,inf,
12,8,6,0,1234,CVE,inf,inf,
13,8,6,0,1234,CCVE,inf,inf,
14,8,6,0,1234,CCALP,inf,inf,
15,8,6,0,1234,CCALPeps,inf,inf,
16,9,6,0,1234,CVE,inf,inf,
17,9,6,0,1234,CCVE,inf,inf,
18,9,6,0,1234,CCALP,inf,inf,
19,9,6,0,1234,CCALPeps,inf,inf,
20,10,6,0,1234,CVE,inf,inf,
21,10,6,0,1234,CCVE,inf,inf,
22,10,6,0,1234,CCALP,inf,inf,
23,10,6,0,1234,CCALPeps,inf,inf,
24,11,6,0,1234,CVE,inf,inf,
25,11,6,0,1234,CCVE,inf,inf,
26,11,6,0,1234,CCALP,inf,inf,
27,11,6,0,1234,CCALPeps,inf,inf,
28,12,6,0,1234,CVE,inf,inf,
29,12,6,0,1234,CCVE,inf,inf,
30,12,6,0,1234,CCALP,inf,inf,
31,12,6,0,1234,CCALPeps,inf,inf,
32,13,6,0,1234,CVE,inf,inf,
33,13,6,0,1234,CCVE,inf,inf,
34,13,6,0,1234,CCALP,inf,inf,
35,13,6,0,1234,CCALPeps,inf,inf,
36,14,6,0,1234,CVE,inf,inf,
37,14,6,0,1234,CCVE,inf,inf,
38,14,6,0,1234,CCALP,inf,inf,
39,14,6,0,1234,CCALPeps,inf,inf,
