,N,exovarsize,dovar,seed,method,time,size
0,2,6,0,1234,CVE,1.2767,1.2685
1,2,6,0,1234,CCVE,71.86019999999999,2.5959
2,2,6,0,1234,CCALP,73.274,71.5997
3,2,6,0,1234,CCALPeps,126.63889999999999,124.54549999999999
4,3,6,0,1234,CVE,1.966,1.957
5,3,6,0,1234,CCVE,90.2653,5.1838999999999995
6,3,6,0,1234,CCALP,107.25450000000001,104.85920000000002
7,3,6,0,1234,CCALPeps,347.5775,344.9886
8,4,6,0,1234,CVE,2.2946,2.2849
9,4,6,0,1234,CCVE,112.34760000000001,16.843600000000002
10,4,6,0,1234,CCALP,165.3404,162.0839
11,4,6,0,1234,CCALPeps,inf,inf
