,N,seed,method,time,query_time,size,lowerbound,upperbound
0,5,1234,CVE,2.1848,2.1644,0.0,0.9253716881664275,0.9253716881664275
1,5,1234,CCVE,144.92270000000002,26.651,0.0,0.9253716881664275,0.9253716881664275
2,5,1234,CCALPeps,936.5339,933.9949,1.1102230246251565e-16,0.9443987446020042,0.9443987446020042
3,6,1234,CVE,4.540699999999999,4.5149,0.0,0.9511876167902436,0.9511876167902436
4,6,1234,CCVE,253.1464,118.25229999999999,0.0,0.9511876167902436,0.9511876167902436
5,6,1234,CCALPeps,1410.1117,1407.2804,1.1102230246251565e-16,0.9477339244571394,0.9477339244571397
6,7,1234,CVE,11.3967,11.3773,0.0,0.9510878019665394,0.9510878019665394
7,7,1234,CCVE,622.2685,488.654,0.0,0.9510878019665394,0.9510878019665394
8,7,1234,CCALPeps,1878.7508000000003,1875.7330000000002,1.1102230246251565e-16,0.9477339244571394,0.9477339244571397
9,8,1234,CVE,48.0871,48.0629,0.0,0.6249724220834801,0.6249724220834801
10,8,1234,CCVE,3492.8831,3322.7299,0.0,0.62497242208348,0.62497242208348
11,8,1234,CCALPeps,2148.4449,2145.2762,7.438494264988549e-16,0.6225436130428148,0.6225436130428156
12,9,1234,CVE,233.82049999999998,233.7935,0.0,0.34103587996602325,0.34103587996602325
13,9,1234,CCVE,17786.5786,17591.7096,0.0,0.3410358799660232,0.3410358799660232
14,9,1234,CCALPeps,2502.1394,2498.9663,6.328271240363392e-16,0.3470252579540204,0.34702525795402106
15,10,1234,CVE,1529.58,1529.5395,0.0,0.04379213235825061,0.04379213235825061
16,10,1234,CCVE,87995.3457,87799.8484,0.0,0.04379213235825064,0.04379213235825064
17,10,1234,CCALPeps,2880.5922,2877.3229,7.0082828429463e-17,0.04367803471558617,0.04367803471558625
18,11,1234,CVE,10525.7036,10525.6589,0.0,0.8084042791684029,0.8084042791684029
19,11,1234,CCVE,inf,inf,,,
20,11,1234,CCALPeps,3444.3199999999997,3440.3491999999997,3.4416913763379854e-16,0.8085187344720746,0.8085187344720749
21,12,1234,CVE,,,,,
22,12,1234,CCVE,inf,inf,,,
23,12,1234,CCALPeps,3845.9698,3842.1161999999995,6.106226635438361e-16,0.3804351908799203,0.3804351908799209
24,13,1234,CVE,,,,,
25,13,1234,CCVE,inf,inf,,,
26,13,1234,CCALPeps,3917.9821,3913.6274,6.938893903907228e-16,0.34580228452009076,0.34580228452009143
27,14,1234,CVE,,,,,
28,14,1234,CCVE,inf,inf,,,
29,14,1234,CCALPeps,4446.0763,4441.5588,3.3306690738754696e-16,0.8488770966383006,0.848877096638301
